ESSAY_ID,REAL_SCORE,PRED_SCORE
ESSAY_62656,48.61238095238095,51.558095238095234
ESSAY_54719,46.74761904761905,53.894285714285715
ESSAY_38083,59.30666666666667,49.54
ESSAY_47412,43.973333333333336,46.72
ESSAY_41754,55.67333333333333,49.95142857142857
ESSAY_41756,53.033333333333324,50.4247619047619
ESSAY_39645,47.60666666666667,58.52571428571429
ESSAY_40848,51.147619047619045,54.033333333333324
ESSAY_45388,45.09238095238095,59.64571428571428
ESSAY_35752,28.746666666666663,54.54095238095239
ESSAY_62988,52.635238095238094,70.49904761904762
ESSAY_41580,60.565714285714286,49.224761904761905
ESSAY_38451,51.88095238095239,59.16571428571429
ESSAY_40456,35.46666666666666,45.42
ESSAY_57225,65.57333333333334,56.72761904761906
ESSAY_45084,53.89238095238095,59.132380952380956
ESSAY_45056,52.27904761904762,58.01428571428571
ESSAY_47662,48.50761904761905,53.902857142857144
ESSAY_48687,63.93904761904762,59.64571428571428
ESSAY_45776,62.2,54.45428571428572
ESSAY_57135,45.11333333333333,57.534285714285716
ESSAY_40934,59.17238095238095,49.124761904761904
ESSAY_38090,60.07333333333334,55.27428571428571
ESSAY_62633,50.24666666666667,54.114285714285714
ESSAY_62625,56.40666666666667,50.45809523809524
ESSAY_45566,55.526666666666664,57.04952380952382
ESSAY_45054,59.287619047619046,59.80571428571428
ESSAY_33515,60.82761904761905,59.49904761904761
ESSAY_50277,39.59333333333333,57.140952380952385
ESSAY_46184,53.4,55.09619047619047
ESSAY_45765,57.43333333333332,53.91619047619048
ESSAY_40724,67.33333333333333,53.37428571428571
ESSAY_62818,60.05238095238095,56.614285714285714
ESSAY_40452,43.46666666666667,56.56285714285714
ESSAY_45773,51.9,46.69333333333333
ESSAY_62660,53.37904761904762,57.819047619047616
ESSAY_62644,47.48095238095238,58.072380952380946
ESSAY_39651,53.25333333333333,59.80571428571428
ESSAY_57142,57.6847619047619,55.90761904761905
ESSAY_62662,44.03047619047619,58.825714285714284
ESSAY_39137,48.62095238095238,48.41142857142857
ESSAY_52794,46.48571428571428,56.77428571428571
ESSAY_66714,35.82,57.72285714285715
ESSAY_53446,41.38761904761905,52.656190476190474
ESSAY_66222,34.42666666666666,52.02952380952381
ESSAY_40140,38.38095238095238,48.90666666666667
ESSAY_41749,58.55428571428572,50.65809523809524
ESSAY_47700,45.4,57.37428571428571
ESSAY_45880,55.264761904761905,59.812380952380956
ESSAY_45064,54.66761904761904,55.20761904761905
ESSAY_40932,59.04666666666667,57.46095238095238
ESSAY_52891,41.02095238095238,57.58095238095238
ESSAY_53375,44.233333333333334,48.59333333333333
ESSAY_33552,41.57238095238095,56.679047619047616
ESSAY_45747,56.804761904761904,50.3247619047619
ESSAY_79888,42.506666666666675,49.41809523809524
ESSAY_45597,36.13047619047619,53.920952380952386
ESSAY_45066,55.30666666666667,55.28285714285714
ESSAY_79893,42.14,54.20952380952381
ESSAY_54724,51.64,56.33428571428571
ESSAY_45596,48.360952380952384,58.01428571428571
ESSAY_62669,56.77333333333333,52.647619047619045
ESSAY_39653,43.64,51.796190476190475
ESSAY_45075,62.44095238095239,58.01428571428571
ESSAY_47084,40.97714285714286,57.34095238095239
ESSAY_39712,33.409523809523805,52.73619047619047
ESSAY_50255,45.84666666666667,54.24285714285715
ESSAY_41762,63.687619047619044,53.14571428571428
ESSAY_53020,48.09904761904762,58.712380952380954
ESSAY_40915,53.89238095238095,49.78476190476191
ESSAY_39201,47.114285714285714,54.20285714285715
ESSAY_57151,46.600952380952386,56.58095238095238
ESSAY_47078,42.3952380952381,51.96095238095238
ESSAY_62685,50.61333333333333,56.139047619047616
ESSAY_39647,41.88,53.41619047619048
ESSAY_38058,57.41238095238096,57.37428571428571
ESSAY_45686,50.061904761904756,54.38095238095239
ESSAY_33544,54.91904761904762,58.80095238095239
ESSAY_62513,47.114285714285714,55.927619047619054
ESSAY_33529,45.35428571428571,57.06761904761904
ESSAY_62677,46.23619047619047,58.04761904761905
ESSAY_66682,48.74666666666667,55.922857142857154
ESSAY_40922,63.44666666666667,50.11333333333333
ESSAY_48703,57.8,54.360952380952384
ESSAY_57223,65.57333333333334,57.527619047619055
ESSAY_47599,45.84666666666667,56.52095238095238
ESSAY_45044,53.76666666666667,57.56095238095238
ESSAY_41759,57.8,57.894285714285715
ESSAY_47389,49.523809523809526,45.69333333333333
ESSAY_38452,55.180952380952384,57.70761904761905
ESSAY_50476,53.37904761904762,48.980000000000004
ESSAY_66155,46.21333333333333,58.49238095238095
ESSAY_66780,47.11238095238095,47.50476190476191
ESSAY_62690,49.859047619047615,56.33428571428571
ESSAY_50272,42.10666666666667,58.434285714285714
ESSAY_48690,56.55333333333333,57.527619047619055
ESSAY_45079,58.04095238095239,56.920952380952386
ESSAY_45576,37.70761904761905,55.82952380952381
ESSAY_62619,56.01904761904761,59.16571428571429
ESSAY_33563,57.674285714285716,55.91428571428571
ESSAY_35254,52.62444444444445,59.129999999999995
ESSAY_80256,59.11444444444444,69.24777777777777
ESSAY_38145,54.37222222222222,69.16444444444444
ESSAY_51327,62.74444444444445,71.99444444444444
ESSAY_38155,64.7,72.06777777777776
ESSAY_62270,74.6,72.85777777777778
ESSAY_55624,76.71444444444444,71.31
ESSAY_51204,58.17333333333333,71.20333333333333
ESSAY_55647,74.0988888888889,69.52444444444446
ESSAY_55654,69.52777777777779,69.31444444444443
ESSAY_62299,73.62222222222222,71.69666666666667
ESSAY_37725,74.42888888888889,71.99555555555555
ESSAY_53307,73.74444444444444,72.52888888888889
ESSAY_62277,71.80111111111111,71.5488888888889
ESSAY_62276,76.06666666666668,72.51888888888888
ESSAY_62254,75.57777777777778,71.72666666666666
ESSAY_55610,76.71444444444444,71.87444444444445
ESSAY_49047,77.04444444444445,70.99666666666667
ESSAY_53311,74.72222222222221,69.41777777777777
ESSAY_62240,76.55555555555556,71.21888888888888
ESSAY_51311,53.92,61.098888888888894
ESSAY_42818,76.06666666666668,68.34555555555555
ESSAY_49028,79.0,71.07111111111111
ESSAY_51326,73.07222222222222,73.00666666666666
ESSAY_51316,71.44666666666667,72.18666666666667
ESSAY_80212,64.05222222222223,70.08555555555556
ESSAY_62293,77.36222222222223,69.59666666666666
ESSAY_51300,77.35,73.24777777777777
ESSAY_41181,70.18777777777777,68.25777777777778
ESSAY_32760,59.65222222222222,66.98111111111112
ESSAY_42825,77.04444444444445,72.05333333333333
ESSAY_55655,73.59777777777778,71.11666666666667
ESSAY_64690,61.57111111111111,71.01
ESSAY_51295,75.7,71.5911111111111
ESSAY_51223,38.96111111111111,53.53666666666667
ESSAY_51160,72.09444444444445,68.27777777777779
ESSAY_42756,78.02222222222221,72.69444444444444
ESSAY_63588,63.07444444444445,72.05333333333333
ESSAY_51187,79.0,69.8788888888889
ESSAY_51132,64.19888888888889,70.67
ESSAY_54935,57.52555555555555,61.781111111111116
ESSAY_51232,66.17888888888889,73.00666666666666
ESSAY_51245,77.35,71.50333333333333
ESSAY_53252,73.1211111111111,71.19
ESSAY_42855,75.22333333333333,71.11444444444444
ESSAY_64685,60.568888888888885,72.21666666666667
ESSAY_51281,79.0,72.46888888888888
ESSAY_42802,78.34,72.18666666666667
ESSAY_41162,73.26777777777777,72.21666666666667
ESSAY_80292,71.11666666666667,72.1588888888889
ESSAY_55644,69.84555555555555,69.76
ESSAY_77678,51.376666666666665,67.67555555555555
ESSAY_55664,71.33666666666667,70.80111111111111
ESSAY_80204,75.08888888888889,69.67222222222222
ESSAY_41194,75.56555555555556,68.47333333333333
ESSAY_39758,58.62555555555555,68.71000000000001
ESSAY_42767,67.68222222222224,69.98222222222223
ESSAY_42774,76.37222222222222,72.63555555555556
ESSAY_62290,71.11666666666667,72.82666666666667
ESSAY_49019,79.0,72.85777777777778
ESSAY_53251,78.02222222222221,73.15666666666667
ESSAY_51243,77.35,72.91777777777777
